k,inertia,silhouette,min_cluster_size,max_cluster_size
2,1438349.75,0.12068954110145569,425,448
3,1343431.375,0.017093313857913017,234,341
4,1272781.25,-0.0017083308193832636,133,289
5,1205112.5,-0.005762229207903147,61,269
6,1161925.125,-0.015318167395889759,48,227
7,1116390.875,-0.014683508314192295,47,213
8,1079762.25,-0.010055101476609707,41,214
9,1054431.5,-0.011027016676962376,1,216
10,1031715.4375,-0.021178461611270905,42,147
11,1008046.75,-0.017430149018764496,10,164
12,990258.0,-0.02665286883711815,10,145
13,971848.4375,-0.03240210562944412,7,113
14,956585.4375,-0.02715202234685421,10,155
15,943956.5625,-0.04042426869273186,1,93
16,938977.375,-0.028063084930181503,11,107
17,914426.4375,-0.030048951506614685,1,135
18,901472.4375,-0.0249699167907238,1,114
19,890376.75,-0.03483503311872482,1,100
20,887561.5,-0.03638288006186485,1,107
21,875325.25,-0.04243165999650955,1,77
22,859947.125,-0.03320598974823952,1,101
23,854888.25,-0.031224630773067474,1,93
24,840058.4375,-0.03663863614201546,1,85
25,826969.25,-0.03440234065055847,1,83
26,815288.1875,-0.040159884840250015,1,77
27,812664.4375,-0.04127631336450577,1,82
28,792345.5,-0.030630886554718018,1,85
29,800230.0,-0.03828943520784378,1,78
30,788228.8125,-0.047138046473264694,1,67
